Date : 2025-05-11 21:09:14
Directory : c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial
Total : 51 files,  2652 codes, 63 comments, 489 blanks, all 3204 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\models\Empresa.java                | Java     |         36 |          0 |         10 |         46 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\models\Funcionario.java            | Java     |         64 |          0 |         14 |         78 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\models\Pessoa.java                 | Java     |         28 |          1 |          4 |         33 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\ui\InternoSubMenuPessoa.java       | Java     |        124 |          4 |         15 |        143 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\ui\Menu.java                       | Java     |         50 |          1 |         11 |         62 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\ui\MenuTipoContas.java             | Java     |         36 |          1 |         11 |         48 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\ui\SubmenuContaPoupanca.java       | Java     |        162 |          3 |         46 |        211 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\ui\SubmenuEmpresa.java             | Java     |        111 |          0 |         40 |        151 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\ui\SubmenuFuncionarios.java        | Java     |        279 |         11 |         80 |        370 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\ui\SubmenuPessoa.java              | Java     |        202 |         10 |         29 |        241 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\utilities\CabecalhoPadrao.java     | Java     |         21 |          1 |          7 |         29 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\utilities\EntityManagerUtil.java   | Java     |         24 |          3 |          7 |         34 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\utilities\Pausa.java               | Java     |         11 |          0 |          4 |         15 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\utilities\ResetaTerminal.java      | Java     |         10 |          0 |          2 |         12 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\utilities\Validacao.java           | Java     |        152 |          0 |         36 |        188 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\test\java\com\helio\AppTest.java                       | Java     |         11 |          6 |          4 |         21 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\test\java\com\helio\ui\SubmenuPessoaTest.java          | Java     |         14 |          1 |          6 |         21 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\META-INF\Persistence.xml                    | XML      |         20 |          3 |          5 |         28 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\App.class                         | Java     |         10 |          0 |          0 |         10 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\dao\ContaPoupancaDao.class        | Java     |         30 |          0 |          0 |         30 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\dao\EmpresaDao.class              | Java     |         29 |          0 |          0 |         29 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\dao\FuncionarioDao.class          | Java     |         31 |          0 |          0 |         31 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\dao\PessoaDao.class               | Java     |         29 |          0 |          0 |         29 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\models\ContaBancaria.class        | Java     |         26 |          0 |          0 |         26 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\models\ContaPoupanca.class        | Java     |         14 |          0 |          0 |         14 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\models\Empresa.class              | Java     |         19 |          0 |          0 |         19 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\models\Funcionario.class          | Java     |         35 |          0 |          0 |         35 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\models\Pessoa.class               | Java     |          9 |          0 |          0 |          9 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\ui\InternoSubMenuPessoa.class     | Java     |         40 |          0 |          1 |         41 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\ui\Menu.class                     | Java     |         22 |          0 |          0 |         22 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\ui\MenuTipoContas.class           | Java     |         17 |          0 |          0 |         17 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\ui\SubmenuContaPoupanca.class     | Java     |         66 |          0 |          1 |         67 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\ui\SubmenuEmpresa.class           | Java     |         39 |          0 |          0 |         39 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\ui\SubmenuFuncionarios.class      | Java     |        104 |          0 |          0 |        104 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\ui\SubmenuPessoa.class            | Java     |         57 |          0 |          0 |         57 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\utilities\CabecalhoPadrao.class   | Java     |         18 |          0 |          0 |         18 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\utilities\EntityManagerUtil.class | Java     |         16 |          0 |          0 |         16 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\utilities\Pausa.class             | Java     |         13 |          0 |          0 |         13 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\utilities\ResetaTerminal.class    | Java     |         18 |          0 |          0 |         18 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\classes\com\helio\utilities\Validacao.class         | Java     |         69 |          0 |          0 |         69 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\test-classes\com\helio\AppTest.class                | Java     |         11 |          0 |          0 |         11 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\target\test-classes\com\helio\ui\SubmenuPessoaTest.class   | Java     |         23 |          0 |          0 |         23 |
| Total                                                                                                                                                  |          |      2,652 |         63 |        489 |      3,204 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
