Date : 2025-05-11 21:09:14
Directory : c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial
Total : 51 files,  2652 codes, 63 comments, 489 blanks, all 3204 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         48 |      2,510 |         50 |        467 |      3,027 |
| XML      |          3 |        142 |         13 |         22 |        177 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                      |         51 |      2,652 |         63 |        489 |      3,204 |
| . (Files)                                                                                                                                              |          1 |        102 |          7 |         12 |        121 |
| src                                                                                                                                                    |         25 |      1,785 |         53 |        470 |      2,308 |
| src\main                                                                                                                                               |         23 |      1,760 |         46 |        460 |      2,266 |
| src\main\Resources                                                                                                                                     |          1 |         20 |          3 |          5 |         28 |
| src\main\Resources\META-INF                                                                                                                            |          1 |         20 |          3 |          5 |         28 |
| src\main\java                                                                                                                                          |         22 |      1,740 |         43 |        455 |      2,238 |
| src\main\java\com                                                                                                                                      |         22 |      1,740 |         43 |        455 |      2,238 |
| src\main\java\com\helio                                                                                                                                |         22 |      1,740 |         43 |        455 |      2,238 |
| src\main\java\com\helio (Files)                                                                                                                        |          1 |         12 |          0 |          5 |         17 |
| src\main\java\com\helio\dao                                                                                                                            |          4 |        348 |          6 |        117 |        471 |
| src\main\java\com\helio\models                                                                                                                         |          5 |        198 |          3 |         45 |        246 |
| src\main\java\com\helio\ui                                                                                                                             |          7 |        964 |         30 |        232 |      1,226 |
| src\main\java\com\helio\utilities                                                                                                                      |          5 |        218 |          4 |         56 |        278 |
| src\test                                                                                                                                               |          2 |         25 |          7 |         10 |         42 |
| src\test\java                                                                                                                                          |          2 |         25 |          7 |         10 |         42 |
| src\test\java\com                                                                                                                                      |          2 |         25 |          7 |         10 |         42 |
| src\test\java\com\helio                                                                                                                                |          2 |         25 |          7 |         10 |         42 |
| src\test\java\com\helio (Files)                                                                                                                        |          1 |         11 |          6 |          4 |         21 |
| src\test\java\com\helio\ui                                                                                                                             |          1 |         14 |          1 |          6 |         21 |
| target                                                                                                                                                 |         25 |        765 |          3 |          7 |        775 |
| target\classes                                                                                                                                         |         23 |        731 |          3 |          7 |        741 |
| target\classes\META-INF                                                                                                                                |          1 |         20 |          3 |          5 |         28 |
| target\classes\com                                                                                                                                     |         22 |        711 |          0 |          2 |        713 |
| target\classes\com\helio                                                                                                                               |         22 |        711 |          0 |          2 |        713 |
| target\classes\com\helio (Files)                                                                                                                       |          1 |         10 |          0 |          0 |         10 |
| target\classes\com\helio\dao                                                                                                                           |          4 |        119 |          0 |          0 |        119 |
| target\classes\com\helio\models                                                                                                                        |          5 |        103 |          0 |          0 |        103 |
| target\classes\com\helio\ui                                                                                                                            |          7 |        345 |          0 |          2 |        347 |
| target\classes\com\helio\utilities                                                                                                                     |          5 |        134 |          0 |          0 |        134 |
| target\test-classes                                                                                                                                    |          2 |         34 |          0 |          0 |         34 |
| target\test-classes\com                                                                                                                                |          2 |         34 |          0 |          0 |         34 |
| target\test-classes\com\helio                                                                                                                          |          2 |         34 |          0 |          0 |         34 |
| target\test-classes\com\helio (Files)                                                                                                                  |          1 |         11 |          0 |          0 |         11 |
| target\test-classes\com\helio\ui                                                                                                                       |          1 |         23 |          0 |          0 |         23 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                               | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\pom.xml                                                    | XML      |        102 |          7 |         12 |        121 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\Resources\META-INF\Persistence.xml                | XML      |         20 |          3 |          5 |         28 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\App.java                           | Java     |         12 |          0 |          5 |         17 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\dao\ContaPoupancaDao.java          | Java     |         83 |          2 |         26 |        111 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\dao\EmpresaDao.java                | Java     |         84 |          0 |         27 |        111 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\dao\FuncionarioDao.java            | Java     |        118 |          4 |         41 |        163 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\dao\PessoaDao.java                 | Java     |         63 |          0 |         23 |         86 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\models\ContaBancaria.java          | Java     |         36 |          0 |          9 |         45 |
| c:\Users\helio\OneDrive\Área de Trabalho\Estudando Programação Avançada\3\gestaoempresarial\src\main\java\com\helio\models\ContaPoupanca.java          | Java     |         34 |          2 |          8 |         44 |
